City-owned_Facilities_-_Fire_and_Police																
facility_id	common_name	address	city	zip_code	block_lot	owned_leased	dept_id_for_jurisdiction	jurisdiction	gross_sq_ft	longitude	latitude	latitidu1	longitude1	supervisor_district	city_tenants	land_id
710	Fire Station #28	1814 Stockton St	San Francisco	94133	77024	Own	38	Fire Department	9350	-122.4093515	37.80254788	37.80254788	-122.4093515	3		338
702	Fire Station #2	1340 Powell St	San Francisco	94133	160015	Own	38	Fire Department	16920	-122.4098792	37.79703411	37.79703411	-122.4098792	3		337
695	Fire Station #13	530 Sansome St	San Francisco	94111	206017	Own	38	Fire Department	18790	-122.4013502	37.79551871	37.79551871	-122.4013502	3		336
724	Fire Station #41	1325 Leavenworth St	San Francisco	94109	216003	Own	38	Fire Department	9600	-122.4164952	37.79337686	37.79337686	-122.4164952	3		334
685	Fire Chief's Residence	870 Bush St	San Francisco	94108	274010	Own	38	Fire Department	4500	-122.4115922	37.78999924	37.78999924	-122.4115922	3		333
698	Fire Station #16	2251 Greenwich St	San Francisco	94123	515031	Own	38	Fire Department	14000	-122.4367203	37.79858185	37.79858185	-122.4367203	2		331
719	Fire Station #38	2150 California St	San Francisco	94115	638016	Own	38	Fire Department	13400	-122.4298802	37.78971868	37.78971868	-122.4298802	2		329
712	Fire Station #3	1067 Post St	San Francisco	94109	693018	Own	38	Fire Department	8000	-122.419321	37.7866412	37.7866412	-122.419321	6		328
729	Fire Station #5 - Division 2 Headquarters	1301 Turk St	San Francisco	94115	756001	Own	38	Fire Department	12600	-122.4307347	37.78051537	37.78051537	-122.4307347	5		641
446	Central Communications Center (Fire)	1003 Turk St	San Francisco	94110	759001	Own	38	Fire Department		-122.4257413	37.78105362	37.78105362	-122.4257413	5		174
717	Fire Station #36	109 Oak St	San Francisco	94102	837025	Own	38	Fire Department	16100	-122.4212113	37.77493241	37.77493241	-122.4212113	5		327
692	Fire Station #10	655 Presidio Ave	San Francisco	94115	1032001	Own	38	Fire Department	14300	-122.4467233	37.78562526	37.78562526	-122.4467233	2		3
704	Fire Station #21	1443 Grove St	San Francisco	94117	1200016	Own	38	Fire Department	8000	-122.4402718	37.77540972	37.77540972	-122.4402718	5		326
1207	Old Fire Station 21	1152 Oak St	San Francisco	94117	1215010	Own	38	Fire Department	5600	-122.4383662	37.77330114	37.77330114	-122.4383662	5		325
716	Fire Station #34	499 41st Ave	San Francisco	94121	1494001	Own	38	Fire Department	4400	-122.5026191	37.77943863	37.77943863	-122.5026191	1		324
696	Fire Station #14	551 26th Ave	San Francisco	94121	1518009	Own	38	Fire Department	15900	-122.4860616	37.77899265	37.77899265	-122.4860616	1		323
713	Fire Station #31	441 12th Ave	San Francisco	94118	1532007	Own	38	Fire Department	8500	-122.4709114	37.77984011	37.77984011	-122.4709114	1		320
705	Fire Station #22	1290 16th Ave	San Francisco	94122	1735064	Own	38	Fire Department	5900	-122.4736871	37.76393037	37.76393037	-122.4736871	5		322
706	Fire Station #23	1348 45th Ave	San Francisco	94122	1799029	Own	38	Fire Department	12000	-122.50471	37.76140573	37.76140573	-122.50471	4		319
728	Fire Station #48	800 Avenue I	San Francisco	94130	1939026	Own	38	Fire Department	18000	-122.369211	37.8266683	37.8266683	-122.369211	6		1041
688	Fire Division of Training  - Treasure Island	600 Avenue M	San Francisco	94130	1939030	Own	38	Fire Department	5040	-122.3670518	37.82705933	37.82705933	-122.3670518	6		1106
700	Fire Station #18	1935 32nd Ave	San Francisco	94116	2102006	Own	38	Fire Department	15900	-122.4905439	37.75098636	37.75098636	-122.4905439	4		321
723	Fire Station #40	2155 18th Ave	San Francisco	94116	2199003	Own	38	Fire Department	7350	-122.4752694	37.74761094	37.74761094	-122.4752694	7		318
