Indicator Categoy,Hazard Risk,,,,Environment Indicators,,,,,Transportation,,,Community,,,,,,Public Realm,,,,Housing,,,,,,,Economy,,Health,,,,,,Demographics,,,,,,,,,,,,,,,,,
Field,Flood_Per,Heat_Per,Liq_Per,Haz_Score,Imp_Per,Tree_Per,PM_Conc,Tox_Per,Env_Score,AT_Min,PTrans_Sco,Trans_Sco,VCrim_Rate,Vot_Rate,NewSF_Per,Citz_Per,Eng_Per,Com_Score,Food_Score,HS_Per,32.50%,PR_Score,LivAl_Per,EldLivAl_Per,OC_Per,Viol_Rate,AC_Per,Rent_Per,House_Score,Emp_per,Ec_Score,Shelt_Rate,SheltDay_Rate,,Dis_Per,PrevHos,Health_Score,Over85_Per,Over65_Per,Under18_Per,Under5_Per,NonWhi_Per,Lat_Per,Black_Per,Asian_Per,Pov_Per,PopDens,DayPopDens,Dem_Score,Res_Score,Res_Rank,,,,
Neighborhood,Percent of the neighborhood in the 100 year storm flood plain.,Percent of the neighborhood in 'high' or 'very high' heat vulnerability areas,Percent of the neighborhood in a liquefaction or landslide zone,Hazard Risk Score,Percent impervious surface,Percent tree cover,Average annual PM2.5 concentration from all Sources,Percent of the neighborhood within .25 miles of a contamination risk,Environmental Resiliency Score,Average minutes of active transportation (walk+bike) per day,Public Transit Score,Transportation Resiliency Score,"Violent crimes, per 1000 people",Voting rates in the 2012 Presidential Election,Percent of the population that moved to San Francisco within the last year,Percent of the population with United States citizenship,"Percent of population living in households without English Spoken ""Very Well""",Community Resiliency Score,Healthy Food Score,Percent of the population over 25 with a high school degree,Percent of the population within .25 miles of a pharmacy,Public Realm Resiliency Score,Percent of households with a resident living alone,Percent of households with a resident over 65 and living alone,Percent of households with 1 or more people per room,"Residential housing violations, per 1000 people",Percent of buildings with air conditioning,Percent of renter households whose gross rent is 50% or more of their household income,Housing Resiliency Score,Percent of the population over 16 that are employed,Economy Resiliency Score,"Shelters and cooling centers within .25 miles, per 1000 people","Shelters and cooling centers within .25 miles, per 1000 people (daytime population)",Percent of the population within 30 minutes commute of a hospital or clinic,Percent of the population reporting a disability,"Preventable hospitalizations, per 100,00 people",Health Resiliency Score,Percent of the population over 85,Percent of the population over 65,Percent of the population under 18,Percent of the population under 5,Percent of the population non-white,Percent of the population Latino,Percent of the population Black / African American,Percent of the population Asian,Percent of households below 200% of the poverty rate,"Population density, per square mile","Daytime density, per square mile",Demographics Resiliency Score,Final Resiliency Indicator,Resiiency Rank (out of 36),,,,
Bayview,0.06836880000,0.58653200000,0.55727300000,1,0.69320900000,0.06747490000,8.71243000000,0.26981100000,1,15.34200000000,13.75800000000,1,105.79900000000,0.63177400000,0.04721006,0.236618484,0.281838048,2,33.07890000000,0.725054753,0.09549620000,1,0.224653947,0.073887018,0.115881033,7.78000000000,0.00960000000,0.150953984,2,0.838264518,1,0.26479200000,0.18668700000,Forthcoming,0.112580583,1893.17000000000,1,0.011177821,0.098967988,0.260022688,0.08839886,0.797305149,0.237667045,0.341864261,0.293998838,0.413468721,6944.77000000000,9850.25000000000,1,1,35,,,,
Bernal Heights,0.00000000000,0.10488800000,0.12912000000,3,0.65649200000,0.12101100000,8.75023000000,0.11527700000,2,22.50500000000,28.68320000000,3,43.76840000000,0.77430400000,0.040006325,0.204186047,0.198548407,4,82.40830000000,0.878191214,0.21270500000,3,0.243069899,0.050114143,0.055658224,6.90000000000,0.05110000000,0.077073595,5,0.927948127,3,0.34921600000,0.46692600000,,0.074091315,1081.97000000000,3,0.006633306,0.086000233,0.172970247,0.05399744,0.374684821,0.3068389,0.051902712,0.179913883,0.242755731,22066.80000000000,16503.80000000000,3,3,16,,,,
Castro/Upper Market,0.00000000000,0.00268633000,0.11948300000,5,0.65579900000,0.14512200000,8.44600000000,0.00059706100,4,39.12840000000,36.85040000000,4,64.12340000000,0.82255700000,0.05932371,0.084665678,0.032946519,5,87.81620000000,0.972638866,0.56576400000,5,0.428755999,0.077242525,0.007105943,9.34000000000,0.03000000000,0.087670727,3,0.930182529,4,0.30438300000,0.37816700000,,0.077749436,625.23100000000,4,0.013980182,0.094476602,0.07196115,0.027764152,0.189934269,0.091582459,0.029873443,0.093054057,0.161875797,23023.00000000000,18531.00000000000,5,5,2,,,,
Chinatown,0.00000000000,0.99976100000,0.31233200000,1,0.87532500000,0.05004520000,8.81237000000,0.00116048000,1,41.42720000000,89.90660000000,5,50.82770000000,0.57949900000,0.075387286,0.379653428,0.67985904,1,90.84360000000,0.447475334,1.00001000000,3,0.473995772,0.247639183,0.250458069,10.59000000000,0.00160000000,0.226497533,1,0.842658261,1,0.42444800000,0.10732800000,,0.195933333,739.09500000000,1,0.048866667,0.281066667,0.0996,0.016266667,0.8786,NULL,NULL,0.830266667,0.657466667,70416.60000000000,278476.00000000000,1,1,36,,,,
Crocker Amazon,0.00000000000,0.21804300000,0.01927690000,3,0.70570800000,0.05218260000,8.25316000000,0.00133914000,3,14.13530000000,18.53950000000,1,20.66870000000,0.65273700000,0.030931316,0.213926095,0.431434599,2,50.29710000000,0.734397264,0.13777300000,1,0.174093264,0.064248705,0.15,3.83000000000,0.01060000000,0.088341969,4,0.884297521,1,0.22796400000,0.23915800000,,0.10588631,920.67400000000,1,0.019038009,0.15452405,0.195694585,0.043390515,0.779414733,0.229330642,0.038748739,0.582374706,0.287790111,28187.10000000000,26867.70000000000,1,1,30,,,,
Diamond Heights/Glen Park,0.00000000000,0.00027949200,0.19802000000,4,0.43331600000,0.24067800000,8.31805000000,0.00608127000,5,19.06450000000,24.68570000000,2,20.33550000000,0.84003800000,0.072178142,0.114825808,0.053663852,5,64.58040000000,0.958131542,0.24160500000,3,0.376536611,0.10181721,0.006948156,5.47000000000,0.00020000000,0.076696954,4,0.937884379,4,0.34466900000,0.43066300000,,0.074031891,483.67600000000,4,0.014679828,0.132118451,0.146545178,0.070868135,0.321564161,0.120096178,0.033156163,0.16312326,0.184510251,12163.50000000000,9734.72000000000,4,5,5,,,,
Downtown/Civic Center,0.00000000000,0.99976700000,0.15379800000,1,0.86765800000,0.04074540000,9.18731000000,0.00221848000,1,41.88700000000,83.29560000000,5,177.47000000000,0.63430200000,0.109729412,0.280030604,0.278696127,1,93.25610000000,0.790392868,0.99735600000,5,0.676120176,0.144176811,0.137788138,9.06000000000,0.00800000000,0.295778296,1,0.893339055,1,0.28471100000,0.18431800000,,0.210701274,1549.06000000000,1,0.019918624,0.14724889,0.073504774,0.025077786,0.543600245,0.155040821,0.079328777,0.313485626,0.561497753,65411.70000000000,101040.00000000000,2,1,34,,,,
Excelsior,0.00000000000,0.34513300000,0.02264700000,3,0.68160200000,0.10349800000,8.66289000000,0.05936340000,3,14.37000000000,23.02950000000,2,34.51810000000,0.60007500000,0.039378295,0.285262444,0.408337879,2,61.80420000000,0.708713005,0.29800600000,1,0.177211394,0.082658671,0.098150925,4.33000000000,0.06680000000,0.099550225,5,0.913832981,2,0.34124300000,0.37318800000,,0.10792346,1037.63000000000,2,0.024252157,0.158197011,0.182721359,0.05198835,0.666920711,0.300062604,0.030811944,0.463785079,0.294074417,23767.50000000000,21733.00000000000,1,2,29,,,,
Financial District,0.02644660000,0.67486300000,0.80268700000,1,0.74628800000,0.09272550000,9.16533000000,0.02605460000,1,42.13670000000,71.62570000000,5,282.40100000000,0.71802600000,NULL,NULL,0.234240688,1,89.93970000000,0.867811159,0.93105700000,5,0.704989154,NULL,0.123644252,12.67000000000,0.51040000000,0.293926247,1,0.918767507,2,0.28993900000,0.02529240000,,0.302292264,469.22200000000,2,NULL,NULL,NULL,NULL,0.510744986,NULL,NULL,0.342406877,0.553724928,9940.64000000000,113954.00000000000,1,1,31,,,,
