facility_id,common_name,address,city,zip_code,block_lot,owned_leased,dept_id_for_jurisdiction,jurisdiction,gross_sq_ft,longitude,latitude,geom,supervisor_district,city_tenants,land_id
710,Fire Station #28,1814 Stockton St,San Francisco,94133,0077024,Own,38,Fire Department,9350,-122.40935150799999,37.802547875000016,"(37.802547875000016, -122.40935150799999)",3,,338
702,Fire Station #2,1340 Powell St,San Francisco,94133,0160015,Own,38,Fire Department,16920,-122.40987916099999,37.797034112999995,"(37.797034112999995, -122.40987916099999)",3,,337
695,Fire Station #13,530 Sansome St,San Francisco,94111,0206017,Own,38,Fire Department,18790,-122.40135015599998,37.795518711,"(37.795518711, -122.40135015599998)",3,,336
724,Fire Station #41,1325 Leavenworth St,San Francisco,94109,0216003,Own,38,Fire Department,9600,-122.416495156,37.79337685799999,"(37.79337685799999, -122.416495156)",3,,334
685,Fire Chief's Residence,870 Bush St,San Francisco,94108,0274010,Own,38,Fire Department,4500,-122.41159217900002,37.789999240999975,"(37.789999240999975, -122.41159217900002)",3,,333
698,Fire Station #16,2251 Greenwich St,San Francisco,94123,0515031,Own,38,Fire Department,14000,-122.43672029099997,37.79858185400002,"(37.79858185400002, -122.43672029099997)",2,,331
719,Fire Station #38,2150 California St,San Francisco,94115,0638016,Own,38,Fire Department,13400,-122.42988021399998,37.78971867500002,"(37.78971867500002, -122.42988021399998)",2,,329
712,Fire Station #3,1067 Post St,San Francisco,94109,0693018,Own,38,Fire Department,8000,-122.41932098400002,37.78664120399998,"(37.78664120399998, -122.41932098400002)",6,,328
729,Fire Station #5 - Division 2 Headquarters,1301 Turk St,San Francisco,94115,0756001,Own,38,Fire Department,12600,-122.43073468,37.780515374000004,"(37.780515374000004, -122.43073468)",5,,641
446,Central Communications Center (Fire),1003 Turk St,San Francisco,94110,0759001,Own,38,Fire Department,,-122.42574133,37.78105361799999,"(37.78105361799999, -122.42574133)",5,,174
717,Fire Station #36,109 Oak St,San Francisco,94102,0837025,Own,38,Fire Department,16100,-122.42121128000002,37.774932406000005,"(37.774932406000005, -122.42121128000002)",5,,327
